year,measure_name,state,sex_name,age_name,cause_name,val,lower,upper,cause_name_clean,age_range
2021,deaths,arunachal pradesh,Both,5-14 Years,respiratory infections and tuberculosis,1.578222941,0.241308626,2.942727459,respiratory_infections_and_tuberculosis,5–14
2021,deaths,arunachal pradesh,Both,15-49 Years,respiratory infections and tuberculosis,6.775080247,0.926905981,12.49828864,respiratory_infections_and_tuberculosis,15–49
2021,deaths,arunachal pradesh,Both,2-4 Years,respiratory infections and tuberculosis,3.987417476,0.552721162,9.353424409,respiratory_infections_and_tuberculosis,2–4
2021,deaths,arunachal pradesh,Both,15-49 Years,non-communicable diseases,55.77057476,37.01630069,76.65954364,non_communicable_diseases,15–49
2021,deaths,arunachal pradesh,Both,50-74 Years,non-communicable diseases,331.970271,216.854042,460.7316,non_communicable_diseases,50–74
2021,deaths,delhi,Both,15-49 Years,chronic respiratory diseases,116.5613681,76.49423574,157.0421781,chronic_respiratory_diseases,15–49
2021,deaths,delhi,Both,50-74 Years,chronic respiratory diseases,2968.545115,2233.875775,3766.448435,chronic_respiratory_diseases,50–74
2021,deaths,bihar,Both,15-49 Years,chronic respiratory diseases,880.7121986,586.5794159,1188.877958,chronic_respiratory_diseases,15–49
2021,deaths,bihar,Both,50-74 Years,chronic respiratory diseases,28351.52752,22298.51193,34761.81558,chronic_respiratory_diseases,50–74
2021,deaths,delhi,Both,15-49 Years,"tracheal, bronchus, and lung cancer",53.91258265,32.37012852,79.65240697,tracheal_bronchus_and_lung_cancer,15–49
2021,deaths,delhi,Both,50-74 Years,"tracheal, bronchus, and lung cancer",426.6972603,260.6190983,611.2730446,tracheal_bronchus_and_lung_cancer,50–74
2021,deaths,delhi,Both,75-84 Years,"tracheal, bronchus, and lung cancer",82.35483872,48.75580483,122.6524476,tracheal_bronchus_and_lung_cancer,75–84
2021,deaths,bihar,Both,75-84 Years,chronic respiratory diseases,23207.72331,18412.99702,28724.20327,chronic_respiratory_diseases,75–84
2021,deaths,arunachal pradesh,Both,75-84 Years,chronic respiratory diseases,92.14722069,55.44881526,135.4961657,chronic_respiratory_diseases,75–84
2021,deaths,delhi,Both,75-84 Years,chronic respiratory diseases,2496.165159,1914.692107,3226.029076,chronic_respiratory_diseases,75–84
2021,deaths,bihar,Both,15-49 Years,"tracheal, bronchus, and lung cancer",75.17305279,48.12792267,108.5498301,tracheal_bronchus_and_lung_cancer,15–49
2021,deaths,bihar,Both,50-74 Years,"tracheal, bronchus, and lung cancer",425.2795012,276.9202945,623.857334,tracheal_bronchus_and_lung_cancer,50–74
